"MachineName","LastRunTime","Windows11ReadinessStatus","CommandExecutionStatus","FailureSource","StorageResult","MemoryResult","TPMResult","ProcessorResult","SecureBootResult","OSVersionResult","StorageDetails","MemoryDetails","TPMDetails","ProcessorDetails","SecureBootDetails","OSDetails"
"BN-CV-EXM001","2025-01-28T23:47:04Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-EXM003","2025-01-28T23:47:17Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-EXM004","2025-01-28T23:47:04Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV02-EXM001","2025-01-28T23:47:19Z","Unsupported","Success","TPM Ver, Proc fail","PASS","PASS","FAIL","FAIL","PASS","FAIL","Storage: OSDiskSize=232GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=1.2, 2, 3 :: FAIL","Processor: {AddressWidth=64
MaxClockSpeed=3192
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: FAIL"
"BN-CV02-EXM002","2025-01-28T23:47:31Z","Unsupported","Success","TPM Ver, Proc fail","PASS","PASS","FAIL","FAIL","PASS","PASS","Storage: OSDiskSize=232GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=1.2, 2, 3 :: FAIL","Processor: {AddressWidth=64
MaxClockSpeed=2712
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 94 Stepping 3} :: FAIL","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-MAS002","2025-01-28T23:47:06Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.16 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2112
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-MAS004","2025-01-28T23:47:08Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=118GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-MDR001","2025-01-28T23:47:05Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=238GB :: PASS","Memory: System_Memory=16GB :: PASS","TPM: TPMVersion=2.0, 0, 1.59 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=1600
NumberOfLogicalCores=20
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 191 Stepping 2} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-MDR002","2025-01-28T23:47:05Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=117GB :: PASS","Memory: System_Memory=8GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=3096
NumberOfLogicalCores=4
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 11} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
"BN-CV-MDR003","2025-01-28T23:47:09Z","Supported","Success",,"PASS","PASS","PASS","PASS","PASS","PASS","Storage: OSDiskSize=119GB :: PASS","Memory: System_Memory=4GB :: PASS","TPM: TPMVersion=2.0, 0, 1.38 :: PASS","Processor: {AddressWidth=64
MaxClockSpeed=2208
NumberOfLogicalCores=6
Manufacturer=GenuineIntel
Caption=Intel64 Family 6 Model 158 Stepping 10} :: PASS","SecureBoot: Capable :: PASS","OsVersion: version=Microsoft Windows 10 Pro -  :: PASS"
